,,,delta,delta,delta,delta,delta,delta,delta,delta
,,,median,mean,std,min,max,count,skew,kurt
actorTag,solution_label,stepName,,,,,,,,
alice,did-key,createPresentation01,0.0,0.28,0.45825756949558394,0,1,25,1.0436507793895284,-0.9975531714662149
alice,did-key,createPresentation02,0.0,0.08,0.27688746209726917,0,1,25,3.2975255410449837,9.640831758034029
alice,did-key,deriveDiplomaCredential,2181.0,2210.68,109.53869940193128,2056,2460,25,0.9306562985482731,0.36793186009997214
alice,did-key,deriveIdentityCredential,2175.0,2207.52,109.65252695066667,2089,2475,25,1.1418065137574533,0.3666589703026908
alice,did-key,signPresentation01,147.0,148.84,10.526474560206124,125,168,25,0.15658015697707015,0.1738270014105372
alice,did-key,signPresentation02,149.0,150.76,7.4681546136467585,139,171,25,0.7735377839842132,0.6869766317505519
alice,third-party,createPresentation01,0.0,0.12,0.33166247903553997,0,1,25,2.490745889990221,4.563420768954364
alice,third-party,createPresentation02,0.0,0.04,0.19999999999999998,0,1,25,4.999999999999999,24.999999999999993
alice,third-party,deriveDiplomaCredential,2206.0,2272.92,170.71514285499106,2074,2880,25,2.018864519290701,5.632489490425435
alice,third-party,deriveIdentityCredential,2203.0,2315.04,242.25167354083098,2104,2965,25,1.4894737666174598,1.5207797061041832
alice,third-party,signPresentation01,144.0,146.28,12.895477243333543,127,181,25,1.0308965258904068,1.4465471160471362
alice,third-party,signPresentation02,150.0,162.08,64.01882535629657,123,465,25,4.770107857597756,23.43042902635643
government,did-key,createIdentityCredential,0.0,0.0,0.0,0,0,25,0.0,0.0
government,did-key,signIdentityCredential,491.0,513.8,62.337121097037105,466,711,25,2.4990838422848762,5.839409538315557
government,third-party,createIdentityCredential,0.0,0.04,0.2,0,1,25,4.999999999999999,24.999999999999993
government,third-party,signIdentityCredential,504.0,515.52,55.62981814339021,462,710,25,2.5670899387752932,7.010464129868971
recruiter,did-key,verifyPresentation01,920.0,905.6,107.01674323830517,707,1087,25,-0.37733886530560884,-0.5269296956494971
recruiter,did-key,verifyPresentation02,255.0,245.8,24.821026033049748,200,289,25,-0.34138739713199445,-1.005475253126681
recruiter,third-party,verifyPresentation01,235.0,236.88,33.55259552801641,179,297,25,0.1554248873667338,-0.8108378112593391
recruiter,third-party,verifyPresentation02,232.0,235.48,28.952720079467493,177,280,25,-0.25578328287420354,-0.4709283313089463
university,did-key,createDiplomaCredential,0.0,0.0,0.0,0,0,25,0.0,0.0
university,did-key,signDiplomaCredential,477.0,496.36,71.27580234553659,454,766,25,3.06738409182989,9.527522763582331
university,third-party,createDiplomaCredential,0.0,0.0,0.0,0,0,25,0.0,0.0
university,third-party,signDiplomaCredential,476.0,504.64,82.31437703503967,451,772,25,2.9296530543693464,8.028285429726282
