,idx_report,idx_step,dlco,dlco,dlco,report,report,report,report,report,report,report,report,report,report,report,report
,,,DID_cacheResolvedDIDDocs,HTTP_cacheWebResourcesResolvedFromLocalHostInstances,HTTP_cacheWebResourcesResolvedFromTheWeb,actorStep,actorTag,className,delta,end,output,report_ts,start,stepName,solution_label,phase,delta_log1p
0,0,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705399943699,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'ex:degreeTitle': 'Msc. Physics', 'ex:grade': '789/1000'}}",2024-01-16 10:12:23.699,1705399943699,createDiplomaCredential,did-key,pre-evaluation,0.0
1,1,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705400054366,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'ex:degreeTitle': 'Msc. Physics', 'ex:grade': '789/1000'}}",2024-01-16 10:14:14.366,1705400054366,createDiplomaCredential,did-key,pre-evaluation,0.0
2,2,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705400033373,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'ex:degreeTitle': 'Msc. Physics', 'ex:grade': '789/1000'}}",2024-01-16 10:13:53.373,1705400033373,createDiplomaCredential,did-key,pre-evaluation,0.0
3,3,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705400019234,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'ex:degreeTitle': 'Msc. Physics', 'ex:grade': '789/1000'}}",2024-01-16 10:13:39.234,1705400019234,createDiplomaCredential,did-key,pre-evaluation,0.0
4,4,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705400088271,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'ex:degreeTitle': 'Msc. Physics', 'ex:grade': '789/1000'}}",2024-01-16 10:14:48.271,1705400088271,createDiplomaCredential,did-key,pre-evaluation,0.0
5,5,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705399950535,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'ex:degreeTitle': 'Msc. Physics', 'ex:grade': '789/1000'}}",2024-01-16 10:12:30.535,1705399950535,createDiplomaCredential,did-key,pre-evaluation,0.0
6,6,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705400047014,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'ex:degreeTitle': 'Msc. Physics', 'ex:grade': '789/1000'}}",2024-01-16 10:14:07.014,1705400047014,createDiplomaCredential,did-key,pre-evaluation,0.0
7,7,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705400004925,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'ex:degreeTitle': 'Msc. Physics', 'ex:grade': '789/1000'}}",2024-01-16 10:13:24.925,1705400004925,createDiplomaCredential,did-key,pre-evaluation,0.0
8,8,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705399970887,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'ex:degreeTitle': 'Msc. Physics', 'ex:grade': '789/1000'}}",2024-01-16 10:12:50.887,1705399970887,createDiplomaCredential,did-key,pre-evaluation,0.0
9,9,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705400039963,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'ex:degreeTitle': 'Msc. Physics', 'ex:grade': '789/1000'}}",2024-01-16 10:13:59.963,1705400039963,createDiplomaCredential,did-key,pre-evaluation,0.0
10,10,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705399936931,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'ex:degreeTitle': 'Msc. Physics', 'ex:grade': '789/1000'}}",2024-01-16 10:12:16.931,1705399936931,createDiplomaCredential,did-key,pre-evaluation,0.0
11,11,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705399984432,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'ex:degreeTitle': 'Msc. Physics', 'ex:grade': '789/1000'}}",2024-01-16 10:13:04.432,1705399984432,createDiplomaCredential,did-key,pre-evaluation,0.0
12,12,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705399957429,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'ex:degreeTitle': 'Msc. Physics', 'ex:grade': '789/1000'}}",2024-01-16 10:12:37.429,1705399957429,createDiplomaCredential,did-key,pre-evaluation,0.0
