,,,delta,delta,delta,delta,delta,delta,delta,delta
,,,median,mean,std,min,max,count,skew,kurt
actorTag,solution_label,stepName,,,,,,,,
alice,did-key,createPresentation01,0.0,0.27,0.4461960433384737,0,1,100,1.0519765069856846,-0.9119930983267479
alice,did-key,createPresentation02,0.0,0.03,0.1714466079977653,0,1,100,5.59464946359213,29.897774818291644
alice,did-key,deriveDiplomaCredential,3151.0,3275.11,401.69046565984144,3121,6959,100,7.972185915576293,72.86565592219901
alice,did-key,deriveIdentityCredential,3174.5,3256.14,243.2129224703442,3042,4535,100,3.0118719420548463,11.625242758157114
alice,did-key,signPresentation01,187.5,201.2,43.78205896104804,157,499,100,4.1730273734267005,23.97746832324323
alice,did-key,signPresentation02,190.5,206.15,65.54748067029139,155,681,100,5.233532931238535,32.76470040063034
alice,third-party,createPresentation01,0.0,0.06,0.2777979790634143,0,2,100,5.097866250703369,28.062758134005094
alice,third-party,createPresentation02,0.0,0.07,0.2564323999762428,0,1,100,3.422153442737595,9.908949089636321
alice,third-party,deriveDiplomaCredential,3152.5,3241.68,162.25817312996827,3032,3654,100,1.1774066700739536,-0.2879838324071424
alice,third-party,deriveIdentityCredential,3126.5,3245.94,197.7537403392963,3072,3981,100,1.424023187447977,1.9841923676347224
alice,third-party,signPresentation01,195.0,206.62,42.06579262406581,155,500,100,3.655888803025142,22.933711664672007
alice,third-party,signPresentation02,193.0,208.78,54.43550163619177,155,534,100,4.274781432808998,22.642876704604713
government,did-key,createIdentityCredential,0.0,0.0,0.0,0,0,100,0.0,0.0
government,did-key,signIdentityCredential,686.0,719.3,100.87921570678549,655,1208,100,3.313446162854,11.035699044252379
government,third-party,createIdentityCredential,0.0,0.0,0.0,0,0,100,0.0,0.0
government,third-party,signIdentityCredential,683.5,706.26,74.02724314245889,644,1046,100,3.472244557569635,12.709939045715716
recruiter,did-key,verifyPresentation01,758.5,782.41,91.92103495210803,650,1105,100,1.4423651622188398,2.458747495326509
recruiter,did-key,verifyPresentation02,194.5,200.96,38.764744995233144,154,489,100,4.877033940279123,31.98056476444495
recruiter,third-party,verifyPresentation01,197.0,207.67,42.7922052280883,162,528,100,4.579614924351706,31.43934230608256
recruiter,third-party,verifyPresentation02,194.0,203.02,43.498282794388636,162,508,100,4.606947441092807,27.797583916950785
university,did-key,createDiplomaCredential,0.0,0.01,0.1,0,1,100,9.999999999999998,100.0000000000001
university,did-key,signDiplomaCredential,678.5,722.35,129.00946445587593,605,1524,100,3.317669101048657,15.332567065329222
university,third-party,createDiplomaCredential,0.0,0.02,0.14070529413628968,0,1,100,6.962011221737288,47.41774260724702
university,third-party,signDiplomaCredential,678.5,727.0,125.4540038050085,610,1372,100,2.6675873748783956,8.993403237405708
