,,,delta,delta,delta,delta,delta,delta,delta,delta
,,,median,mean,std,min,max,count,skew,kurt
actorTag,solution_label,stepName,,,,,,,,
alice,did-key,createPresentation01,0.0,0.27666666666666667,0.44809767608554546,0,1,300,1.0034964551888386,-0.9997043024585106
alice,did-key,createPresentation02,0.0,0.05333333333333334,0.22507276167731263,0,1,300,3.9957249929237215,14.059505753250434
alice,did-key,deriveDiplomaCredential,2772.5,2864.33,244.50836844738603,2643,4354,300,2.852693700090068,10.78821564951751
alice,did-key,deriveIdentityCredential,2776.5,2854.31,235.10295311176537,2632,4792,300,3.89598454171233,24.046031240905442
alice,did-key,signPresentation01,170.0,174.98666666666668,29.15957403808391,149,429,300,6.78289812525946,52.62452423150336
alice,did-key,signPresentation02,171.0,175.45,27.676961792198618,150,428,300,7.050156351386419,57.769878490781394
alice,third-party,createPresentation01,0.0,0.01,0.09966499068325334,0,1,300,9.898934163787843,96.63308793537256
alice,third-party,createPresentation02,0.0,0.023333333333333334,0.15121212222763153,0,1,300,6.346921989358773,38.54031530921835
alice,third-party,deriveDiplomaCredential,2885.5,3017.1633333333334,337.8555676679555,2755,5380,300,3.7039339553772224,17.730454655951892
alice,third-party,deriveIdentityCredential,2887.5,3029.3033333333333,389.6012514172773,2719,5939,300,4.029557409709904,20.241611422144658
alice,third-party,signPresentation01,174.0,180.21,30.523841769802832,153,435,300,6.211236644211659,45.993296351891566
alice,third-party,signPresentation02,175.0,182.82,36.628126700008,154,444,300,5.398916396340174,32.60035309923516
government,did-key,createIdentityCredential,0.0,0.03076923076923077,0.17313638946695364,0,1,195,5.4765294079231595,28.282359431970832
government,did-key,signIdentityCredential,612.0,636.3641025641026,80.93580085086496,576,1034,195,3.034423193831151,9.034588529567463
government,third-party,createIdentityCredential,0.0,0.016304347826086956,0.12698881144557275,0,1,184,7.701638962430608,57.9449982574429
government,third-party,signIdentityCredential,635.0,670.7010869565217,107.5240107835777,600,1405,184,3.5084769456765055,14.780703757146947
recruiter,did-key,verifyPresentation01,728.0,743.6307692307693,81.45201026499812,640,1144,195,1.9194796824498395,5.080209837668349
recruiter,did-key,verifyPresentation02,256.0,256.5692307692308,33.49179122265843,205,521,195,3.2108072569747907,21.40152613237657
recruiter,third-party,verifyPresentation01,261.5,260.5326086956522,29.63565681583848,203,416,184,1.7757696942464665,8.175628437293863
recruiter,third-party,verifyPresentation02,265.5,271.67934782608694,87.46015740895149,204,1261,184,8.649000066044778,91.97298120347047
university,did-key,createDiplomaCredential,0.0,0.010256410256410256,0.1010125841779382,0,1,195,9.797168479089608,94.9583881446482
university,did-key,signDiplomaCredential,605.0,629.7589743589743,88.41157478319039,563,1305,195,3.954382039646239,20.548263556933808
university,third-party,createDiplomaCredential,0.0,0.005434782608695652,0.07372097807744854,0,1,184,13.564659966250534,183.99999999999994
university,third-party,signDiplomaCredential,626.0,659.2010869565217,106.30499373407226,596,1344,184,3.836421496178642,17.06326002779897
