,,,delta,delta,delta,delta,delta,delta,delta,delta
,,,median,mean,std,min,max,count,skew,kurt
actorTag,solution_label,stepName,,,,,,,,
alice,did-key,createPresentation01,0.0,0.32,0.5567764362830022,0,2,25,1.5844563110075933,1.841378998326019
alice,did-key,createPresentation02,0.0,0.04,0.2,0,1,25,4.999999999999999,24.999999999999993
alice,did-key,deriveDiplomaCredential,2208.0,2236.28,129.6850415429628,2046,2537,25,0.777395301507778,-0.23586491108545182
alice,did-key,deriveIdentityCredential,2173.0,2214.8,99.62764007375989,2086,2484,25,1.081273935139531,0.9031326503378105
alice,did-key,signPresentation01,154.0,151.96,9.727452561350955,128,172,25,-0.7326766606118016,1.0975891106935736
alice,did-key,signPresentation02,156.0,155.44,11.262326580240872,123,176,25,-0.8090724146350917,1.7717901270838778
alice,third-party,createPresentation01,0.0,0.04,0.19999999999999996,0,1,25,4.999999999999999,24.999999999999993
alice,third-party,createPresentation02,0.0,0.04,0.19999999999999998,0,1,25,4.999999999999999,24.999999999999993
alice,third-party,deriveDiplomaCredential,2190.0,2216.92,112.12824502922231,2060,2535,25,1.3017765054036163,1.5167443985680231
alice,third-party,deriveIdentityCredential,2197.0,2210.36,93.94097437575718,2095,2422,25,1.0844851607278687,0.3055832234305762
alice,third-party,signPresentation01,156.0,155.4,7.815582725128905,139,171,25,-0.21732215979375546,-0.0874063131627203
alice,third-party,signPresentation02,152.0,151.8,8.722576072086344,129,165,25,-0.8087773142186627,0.7306185952905047
government,did-key,createIdentityCredential,0.0,0.08,0.27688746209726917,0,1,25,3.2975255410449837,9.640831758034029
government,did-key,signIdentityCredential,508.0,529.36,59.75985274412914,483,734,25,2.508778247275031,6.2730894376111355
government,third-party,createIdentityCredential,0.0,0.0,0.0,0,0,25,0.0,0.0
government,third-party,signIdentityCredential,498.0,522.68,76.68100590541749,471,813,25,3.152780584247114,9.9242595215212
recruiter,did-key,verifyPresentation01,909.0,905.28,126.11057317555363,712,1236,25,0.5834592664826724,0.42955396772071586
recruiter,did-key,verifyPresentation02,152.0,160.64,26.862117067225608,124,246,25,1.5231433485369006,3.194229193728188
recruiter,third-party,verifyPresentation01,154.0,154.84,19.10645615143391,125,231,25,2.568483478852118,10.655505313908012
recruiter,third-party,verifyPresentation02,154.0,153.08,19.758795509848262,124,232,25,2.5909004606716035,10.664222188682356
university,did-key,createDiplomaCredential,0.0,0.0,0.0,0,0,25,0.0,0.0
university,did-key,signDiplomaCredential,482.0,512.04,97.4228241566968,448,865,25,2.7257171617075993,7.348260598212253
university,third-party,createDiplomaCredential,0.0,0.04,0.2,0,1,25,4.999999999999999,24.999999999999993
university,third-party,signDiplomaCredential,482.0,508.2,100.62968415598519,446,936,25,3.7519465283137263,14.795931590347651
