,,,delta,delta,delta,delta,delta,delta,delta,delta
,,,median,mean,std,min,max,count,skew,kurt
actorTag,className,stepName,,,,,,,,
alice,DidVCActor,createPresentation01,0.0,0.21415270018621974,0.4103606340282846,0,1,1611,1.3948833615323848,-0.054369447728352505
alice,DidVCActor,createPresentation02,0.0,0.22346368715083798,0.4166958709128727,0,1,1611,1.328931093623514,-0.2342344847163358
alice,DidVCActor,deriveDiplomaCredential,2595.0,2621.913718187461,141.8270642483632,2390,5539,1611,6.187441443984449,112.74606411042888
alice,DidVCActor,deriveIdentityCredential,2574.0,2598.5630043451274,146.95475780542657,2371,5179,1611,6.698310492165569,106.46840878561727
alice,DidVCActor,signPresentation01,185.0,187.12911235257604,22.100408144268954,164,416,1611,9.129710176144334,86.3905167402224
alice,DidVCActor,signPresentation02,193.0,195.46865301055246,22.453999449765814,168,428,1611,9.04638064768324,85.66282037012034
alice,SolidVCActor,createPresentation01,0.0,0.020484171322160148,0.14169344555508748,0,1,1611,6.776768944340514,43.97919445238664
alice,SolidVCActor,createPresentation02,0.0,0.0148975791433892,0.12118067743744437,0,1,1611,8.016218713348522,62.337150363646394
alice,SolidVCActor,deriveDiplomaCredential,2366.0,2390.338919925512,112.7144552219262,2169,2970,1611,0.9295349807686399,0.6864007812972606
alice,SolidVCActor,deriveIdentityCredential,2387.0,2404.081936685289,111.31139016446737,2157,2981,1611,0.7557210105551314,0.45790427233951814
alice,SolidVCActor,signPresentation01,185.0,187.08441961514586,22.993659927301376,161,424,1611,9.039347042421804,84.70391431074127
alice,SolidVCActor,signPresentation02,193.0,195.1967721911856,22.90914573961407,168,462,1611,8.929588318004342,84.53062030351042
government,DidVCActor,createIdentityCredential,0.0,0.21849782743637491,0.4133552791443685,0,1,1611,1.3637279902265056,-0.1404218397901591
government,DidVCActor,signIdentityCredential,526.0,534.6790813159528,76.2040864110275,486,2975,1611,21.313932064769933,655.3382278517274
government,SolidVCActor,createIdentityCredential,0.0,0.008690254500310366,0.09284441148219723,0,1,1611,10.59666251591747,110.42634547486895
government,SolidVCActor,signIdentityCredential,525.0,533.0595903165736,45.95083978125145,488,793,1611,4.136085801707053,17.021226973522552
recruiter,DidVCActor,verifyPresentation01,737.0,752.3581626319057,82.00838595265654,590,1202,1611,1.4472105005948501,4.29704968294541
recruiter,DidVCActor,verifyPresentation02,752.0,765.4103041589075,77.14304607905136,610,1287,1611,1.2747485351129777,4.348201597051073
recruiter,SolidVCActor,verifyPresentation01,350.0,327.8541278708876,67.54075245558683,206,618,1611,0.03744181912201616,-0.2965283718599494
recruiter,SolidVCActor,verifyPresentation02,353.0,338.21477343265053,64.95248950895842,211,630,1611,0.13457291391291484,-0.1777337172093345
university,DidVCActor,createDiplomaCredential,1.0,17.406579764121663,32.57269643356387,0,103,1611,1.5474105562772242,0.44965946502014864
university,DidVCActor,signDiplomaCredential,520.0,528.1992551210428,46.043842454949825,480,834,1611,4.084050772511956,16.829831288741275
university,SolidVCActor,createDiplomaCredential,0.0,0.018001241464928614,0.13299690370821932,0,1,1611,7.257280033301103,50.731092860698496
university,SolidVCActor,signDiplomaCredential,521.0,529.3265052762259,48.9332810967887,482,994,1611,4.51530956280509,22.811778048964605
