,,,delta,delta,delta,delta,delta,delta,delta,delta
,,,median,mean,std,min,max,count,skew,kurt
actorTag,solution_label,stepName,,,,,,,,
alice,did-key,createPresentation01,0.0,0.268,0.5416173904061441,0,5,250,3.451624831338892,22.63700374126869
alice,did-key,createPresentation02,0.0,0.024,0.15335603114699023,0,1,250,6.257839435313746,37.460181217443804
alice,did-key,deriveDiplomaCredential,3154.0,3265.664,221.66904104776597,3062,5253,250,3.801479967990354,26.33562850138655
alice,did-key,deriveIdentityCredential,3172.0,3269.864,240.1156964773006,3042,4656,250,2.320618163101259,7.438434472548014
alice,did-key,signPresentation01,197.5,207.972,42.58743917992268,150,539,250,3.979683308435611,25.232765330251834
alice,did-key,signPresentation02,203.0,214.464,43.21321826630975,157,531,250,3.7300832752527597,22.820185506183826
alice,third-party,createPresentation01,0.0,0.032,0.2349399649880675,0,3,250,9.575595993231499,107.6755798915002
alice,third-party,createPresentation02,0.0,0.048,0.30671206229398046,0,4,250,9.62533982024203,113.41810987595582
alice,third-party,deriveDiplomaCredential,3150.5,3270.816,232.91527266575673,3102,4515,250,2.4307616583978726,7.132111769307468
alice,third-party,deriveIdentityCredential,3117.0,3223.06,245.57929301271813,3045,5623,250,4.778784349480503,37.91497717944626
alice,third-party,signPresentation01,194.0,202.98,40.644946138312754,151,559,250,4.84933259283258,36.84986924194971
alice,third-party,signPresentation02,195.0,207.988,40.850740359898104,155,549,250,3.415452576721623,22.311667117088135
government,did-key,createIdentityCredential,0.0,0.02,0.14028084280983544,0,1,250,6.898603658916859,45.95834677086194
government,did-key,signIdentityCredential,700.0,735.016,107.37349773600681,650,1719,250,4.2864597209460795,29.3143233068415
government,third-party,createIdentityCredential,0.0,0.012,0.10910368672886962,0,1,250,9.01776096885639,79.95964635572012
government,third-party,signIdentityCredential,691.5,729.688,131.32448032461474,612,2126,250,5.912245703180114,52.4507225954397
recruiter,did-key,verifyPresentation01,775.0,803.136,97.40218811195147,667,1370,250,2.002402375882429,6.626223380912588
recruiter,did-key,verifyPresentation02,195.0,205.788,51.10811298464662,155,671,250,5.547176916911429,40.22994569879588
recruiter,third-party,verifyPresentation01,200.0,209.772,46.70122088477467,154,545,250,4.737295512016486,27.885441417365115
recruiter,third-party,verifyPresentation02,194.0,207.264,56.22675605426247,152,556,250,4.273634265165474,20.895844722358756
university,did-key,createDiplomaCredential,0.0,0.008,0.08926293455821276,0,1,250,11.112512587451159,122.46764438085334
university,did-key,signDiplomaCredential,680.0,717.712,101.1485301753145,599,1214,250,1.8635416418595068,4.590408399106044
university,third-party,createDiplomaCredential,0.0,0.036,0.2881599288213288,0,4,250,11.29468570211921,146.86158424127794
university,third-party,signDiplomaCredential,677.0,712.76,101.81760998379038,589,1189,250,2.0524161287369194,5.25252624031322
