,idx_report,idx_step,dlco,dlco,dlco,report,report,report,report,report,report,report,report,report,report,report,report
,,,DID_cacheResolvedDIDDocs,HTTP_cacheWebResourcesResolvedFromLocalHostInstances,HTTP_cacheWebResourcesResolvedFromTheWeb,actorStep,actorTag,className,delta,end,output,report_ts,start,stepName,solution_label,phase,delta_log1p
0,0,0,True,True,True,university.createDiplomaCredential,university,SolidVCActor,0,1705417817699,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'ex:degreeTitle': 'Msc. Physics', 'ex:grade': '789/1000'}}",2024-01-16 15:10:17.699,1705417817699,createDiplomaCredential,third-party,pre-evaluation,0.0
1,1,0,True,True,True,university.createDiplomaCredential,university,SolidVCActor,0,1705417657318,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'ex:degreeTitle': 'Msc. Physics', 'ex:grade': '789/1000'}}",2024-01-16 15:07:37.318,1705417657318,createDiplomaCredential,third-party,pre-evaluation,0.0
2,2,0,True,True,True,university.createDiplomaCredential,university,SolidVCActor,0,1705417978633,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'ex:degreeTitle': 'Msc. Physics', 'ex:grade': '789/1000'}}",2024-01-16 15:12:58.633,1705417978633,createDiplomaCredential,third-party,pre-evaluation,0.0
3,3,0,True,True,True,university.createDiplomaCredential,university,SolidVCActor,0,1705417912805,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'ex:degreeTitle': 'Msc. Physics', 'ex:grade': '789/1000'}}",2024-01-16 15:11:52.805,1705417912805,createDiplomaCredential,third-party,pre-evaluation,0.0
4,4,0,True,True,True,university.createDiplomaCredential,university,SolidVCActor,0,1705417485721,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'ex:degreeTitle': 'Msc. Physics', 'ex:grade': '789/1000'}}",2024-01-16 15:04:45.721,1705417485721,createDiplomaCredential,third-party,pre-evaluation,0.0
5,5,0,True,True,True,university.createDiplomaCredential,university,SolidVCActor,0,1705417404123,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'ex:degreeTitle': 'Msc. Physics', 'ex:grade': '789/1000'}}",2024-01-16 15:03:24.123,1705417404123,createDiplomaCredential,third-party,pre-evaluation,0.0
6,6,0,True,True,True,university.createDiplomaCredential,university,SolidVCActor,0,1705417238562,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'ex:degreeTitle': 'Msc. Physics', 'ex:grade': '789/1000'}}",2024-01-16 15:00:38.562,1705417238562,createDiplomaCredential,third-party,pre-evaluation,0.0
7,7,0,True,True,True,university.createDiplomaCredential,university,SolidVCActor,0,1705417785703,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'ex:degreeTitle': 'Msc. Physics', 'ex:grade': '789/1000'}}",2024-01-16 15:09:45.703,1705417785703,createDiplomaCredential,third-party,pre-evaluation,0.0
8,8,0,True,True,True,university.createDiplomaCredential,university,SolidVCActor,0,1705417551112,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'ex:degreeTitle': 'Msc. Physics', 'ex:grade': '789/1000'}}",2024-01-16 15:05:51.112,1705417551112,createDiplomaCredential,third-party,pre-evaluation,0.0
