,,,delta,delta,delta,delta,delta,delta,delta,delta
,,,median,mean,std,min,max,count,skew,kurt
actorTag,solution_label,stepName,,,,,,,,
alice,did-key,createPresentation01,0.0,0.24,0.4358898943540673,0,1,25,1.296697626224914,-0.3536509257333065
alice,did-key,createPresentation02,0.0,0.08,0.27688746209726917,0,1,25,3.2975255410449824,9.640831758034025
alice,did-key,deriveDiplomaCredential,2242.0,2247.44,88.23551816965016,2121,2483,25,1.002564381415285,1.394298923278777
alice,did-key,deriveIdentityCredential,2231.0,2239.64,97.55762399730725,2125,2470,25,1.0874175861110942,0.4963211928234861
alice,did-key,signPresentation01,149.0,148.16,9.012398866746485,132,166,25,-0.2666467846945461,-0.5405857355803878
alice,did-key,signPresentation02,150.0,151.72,10.382356829416594,126,180,25,0.19743031764271415,2.105533980931912
alice,third-party,createPresentation01,0.0,0.04,0.2,0,1,25,4.999999999999999,24.999999999999993
alice,third-party,createPresentation02,0.0,0.04,0.2,0,1,25,4.999999999999999,24.999999999999993
alice,third-party,deriveDiplomaCredential,2236.0,2266.2,107.67659912905864,2146,2591,25,1.6290561249911129,2.3656641874166118
alice,third-party,deriveIdentityCredential,2242.0,2271.84,122.13983789083738,2127,2678,25,1.77383006369088,4.027361522007319
alice,third-party,signPresentation01,152.0,151.32,11.081967334368027,126,174,25,-0.3862303795744462,0.3846144259246089
alice,third-party,signPresentation02,156.0,151.48,11.143458469733112,125,168,25,-0.9800658358905613,0.23898192786098615
government,did-key,createIdentityCredential,0.0,0.0,0.0,0,0,25,0.0,0.0
government,did-key,signIdentityCredential,507.0,522.12,59.97243811396474,477,718,25,2.9111837730033505,7.998817565453361
government,third-party,createIdentityCredential,0.0,0.04,0.2,0,1,25,4.999999999999999,24.999999999999993
government,third-party,signIdentityCredential,499.0,515.52,61.354244623606384,467,712,25,2.8157181662438715,7.468932858478462
recruiter,did-key,verifyPresentation01,907.0,912.6,107.5120148324518,723,1210,25,0.5441034439983395,1.1487172874050513
recruiter,did-key,verifyPresentation02,247.0,241.0,31.828970032555777,188,292,25,-0.14011941715255355,-1.0714293988674553
recruiter,third-party,verifyPresentation01,243.0,240.84,22.589968275025683,195,283,25,-0.03469541265634906,-0.4089144119339223
recruiter,third-party,verifyPresentation02,247.0,248.52,32.358821568983835,186,330,25,0.5191801283484898,0.7236550347392328
university,did-key,createDiplomaCredential,0.0,0.04,0.2,0,1,25,5.0,25.0
university,did-key,signDiplomaCredential,477.0,507.48,89.27444576510496,453,858,25,3.167322956406821,10.592992058874497
university,third-party,createDiplomaCredential,0.0,0.0,0.0,0,0,25,0.0,0.0
university,third-party,signDiplomaCredential,484.0,519.56,155.71985529576287,449,1225,25,4.294976356433007,19.309956075614274
