,,,delta,delta,delta,delta,delta,delta,delta,delta
,,,median,mean,std,min,max,count,skew,kurt
actorTag,solution_label,stepName,,,,,,,,
alice,did-key,createPresentation01,0.0,0.16,0.37416573867739417,0,1,25,1.9754091793527027,2.0609824957651073
alice,did-key,createPresentation02,0.0,0.08,0.27688746209726917,0,1,25,3.297525541044983,9.640831758034025
alice,did-key,deriveDiplomaCredential,2176.0,2203.16,119.0425974178991,2043,2506,25,0.9822219430235221,0.35666075351844917
alice,did-key,deriveIdentityCredential,2198.0,2210.84,88.63251848691503,2081,2383,25,0.5602551948483264,-0.46712917553030886
alice,did-key,signPresentation01,150.0,155.0,21.76579885967891,120,234,25,2.2752299753922727,7.082730213468894
alice,did-key,signPresentation02,151.0,150.56,10.843892290132725,131,171,25,-0.01675084895928293,-0.6333139351802415
alice,third-party,createPresentation01,0.0,0.04,0.2,0,1,25,5.0,25.0
alice,third-party,createPresentation02,0.0,0.08,0.27688746209726917,0,1,25,3.2975255410449837,9.640831758034029
alice,third-party,deriveDiplomaCredential,2244.0,2673.76,952.8177632685066,2112,4967,25,1.949520255746443,2.3006930605172062
alice,third-party,deriveIdentityCredential,2238.0,2757.84,1190.0583907243094,2112,6176,25,2.1500013262434363,3.295940401846985
alice,third-party,signPresentation01,152.0,165.2,48.83475538316266,136,376,25,3.729047732936378,15.412896520114531
alice,third-party,signPresentation02,154.0,197.32,150.77458892885986,130,887,25,4.342406627564066,20.0643983052991
government,did-key,createIdentityCredential,0.0,0.08,0.2768874620972691,0,1,25,3.2975255410449837,9.640831758034029
government,did-key,signIdentityCredential,486.0,509.52,62.22480748597513,454,715,25,2.616529656561442,6.503046765119592
government,third-party,createIdentityCredential,0.0,0.0,0.0,0,0,25,0.0,0.0
government,third-party,signIdentityCredential,516.0,680.96,455.5905947229376,477,2576,25,3.472872650540181,13.109255530372453
recruiter,did-key,verifyPresentation01,913.0,913.4,104.2049263070929,701,1136,25,-0.025204551601887917,0.9364209027489911
recruiter,did-key,verifyPresentation02,251.0,241.68,29.960696476105706,171,288,25,-0.757585660011197,-0.0794400276981464
recruiter,third-party,verifyPresentation01,257.0,265.08,52.757242788707856,192,407,25,1.0462897923327594,1.2577401071587033
recruiter,third-party,verifyPresentation02,224.0,252.64,70.93299655308522,183,489,25,1.897795227826269,4.091975632434673
university,did-key,createDiplomaCredential,0.0,0.0,0.0,0,0,25,0.0,0.0
university,did-key,signDiplomaCredential,477.0,498.64,87.12389645403455,443,842,25,3.3153784675963416,11.181977608775174
university,third-party,createDiplomaCredential,0.0,0.0,0.0,0,0,25,0.0,0.0
university,third-party,signDiplomaCredential,479.0,586.52,213.90615543582038,450,1087,25,1.6072366647506735,0.7697451314186798
