,idx_report,idx_step,dlco,dlco,dlco,report,report,report,report,report,report,report,report,report,report,report,report
,,,DID_cacheResolvedDIDDocs,HTTP_cacheWebResourcesResolvedFromLocalHostInstances,HTTP_cacheWebResourcesResolvedFromTheWeb,actorStep,actorTag,className,delta,end,output,report_ts,start,stepName,solution_label,phase,delta_log1p
0,0,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705396021911,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1', 'https://gddmulde.be/customvocab/'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'degree': 'Msc. Physics', 'grade': '789/1000'}}",2024-01-16 09:07:01.911,1705396021911,createDiplomaCredential,third-party,pre-evaluation,0.0
1,1,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705395900729,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1', 'https://gddmulde.be/customvocab/'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'degree': 'Msc. Physics', 'grade': '789/1000'}}",2024-01-16 09:05:00.729,1705395900729,createDiplomaCredential,third-party,pre-evaluation,0.0
2,2,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705395933625,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1', 'https://gddmulde.be/customvocab/'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'degree': 'Msc. Physics', 'grade': '789/1000'}}",2024-01-16 09:05:33.625,1705395933625,createDiplomaCredential,third-party,pre-evaluation,0.0
3,3,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705395920859,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1', 'https://gddmulde.be/customvocab/'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'degree': 'Msc. Physics', 'grade': '789/1000'}}",2024-01-16 09:05:20.859,1705395920859,createDiplomaCredential,third-party,pre-evaluation,0.0
4,4,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705395971600,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1', 'https://gddmulde.be/customvocab/'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'degree': 'Msc. Physics', 'grade': '789/1000'}}",2024-01-16 09:06:11.600,1705395971600,createDiplomaCredential,third-party,pre-evaluation,0.0
5,5,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705395990176,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1', 'https://gddmulde.be/customvocab/'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'degree': 'Msc. Physics', 'grade': '789/1000'}}",2024-01-16 09:06:30.176,1705395990176,createDiplomaCredential,third-party,pre-evaluation,0.0
6,6,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705395984211,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1', 'https://gddmulde.be/customvocab/'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'degree': 'Msc. Physics', 'grade': '789/1000'}}",2024-01-16 09:06:24.211,1705395984211,createDiplomaCredential,third-party,pre-evaluation,0.0
7,7,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705395965196,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1', 'https://gddmulde.be/customvocab/'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'degree': 'Msc. Physics', 'grade': '789/1000'}}",2024-01-16 09:06:05.196,1705395965196,createDiplomaCredential,third-party,pre-evaluation,0.0
8,8,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705395946623,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1', 'https://gddmulde.be/customvocab/'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'degree': 'Msc. Physics', 'grade': '789/1000'}}",2024-01-16 09:05:46.623,1705395946623,createDiplomaCredential,third-party,pre-evaluation,0.0
