,,,delta,delta,delta,delta,delta,delta,delta,delta
,,,median,mean,std,min,max,count,skew,kurt
actorTag,solution_label,stepName,,,,,,,,
alice,did-key,createPresentation01,0.0,0.32,0.47609522856952335,0,1,25,0.8219035275816574,-1.447337828411998
alice,did-key,createPresentation02,0.0,0.12,0.33166247903553997,0,1,25,2.490745889990221,4.563420768954364
alice,did-key,deriveDiplomaCredential,2209.0,2361.64,343.9562569087335,2037,3150,25,1.3931809175662486,0.5903314097712311
alice,did-key,deriveIdentityCredential,2222.0,2391.52,465.67881635307396,2062,4060,25,2.6005939884604263,6.937436812271255
alice,did-key,signPresentation01,148.0,152.16,20.915863198379682,130,213,25,1.548050207312479,2.094737709810592
alice,did-key,signPresentation02,154.0,160.12,25.955603120199953,138,253,25,2.561914024571841,7.2244445628378475
alice,third-party,createPresentation01,0.0,0.12,0.33166247903553997,0,1,25,2.490745889990221,4.563420768954364
alice,third-party,createPresentation02,0.0,0.04,0.2,0,1,25,4.999999999999999,24.999999999999993
alice,third-party,deriveDiplomaCredential,2150.0,2197.96,143.3787176210844,2056,2636,25,1.6570613077060987,2.6009313636121334
alice,third-party,deriveIdentityCredential,2170.0,2206.28,119.76279333193038,2090,2564,25,1.6795831466886066,2.477478530791986
alice,third-party,signPresentation01,146.0,145.56,6.069596362197409,135,161,25,0.48129161084148175,0.28768094996568294
alice,third-party,signPresentation02,149.0,148.84,11.074294559925702,121,179,25,-0.35577865189946983,3.6374450824557707
government,did-key,createIdentityCredential,0.0,0.0,0.0,0,0,25,0.0,0.0
government,did-key,signIdentityCredential,493.0,553.56,130.31406933507475,456,925,25,1.8533008530869097,2.6804367789104964
government,third-party,createIdentityCredential,0.0,0.0,0.0,0,0,25,0.0,0.0
government,third-party,signIdentityCredential,484.0,502.24,62.916796909357444,457,719,25,3.0556962506519225,8.686663886552408
recruiter,did-key,verifyPresentation01,875.0,894.52,146.506006702797,687,1235,25,0.4955929021085936,-0.1879182392043588
recruiter,did-key,verifyPresentation02,245.0,275.36,98.5134846945669,200,607,25,2.2794225249434166,5.184776073200595
recruiter,third-party,verifyPresentation01,241.0,235.56,27.00475266812615,184,286,25,-0.311942511989595,-0.5130468752054003
recruiter,third-party,verifyPresentation02,226.0,232.64,29.46732653861448,181,277,25,-0.16641907150855387,-1.1918304017534083
university,did-key,createDiplomaCredential,0.0,0.0,0.0,0,0,25,0.0,0.0
university,did-key,signDiplomaCredential,506.0,588.28,207.65727373086003,441,1386,25,2.733407610441309,8.734784118255632
university,third-party,createDiplomaCredential,0.0,0.04,0.2,0,1,25,4.999999999999999,24.999999999999993
university,third-party,signDiplomaCredential,462.0,493.68,100.19802060586494,437,927,25,3.844601313861674,15.773929488521192
