,idx_report,idx_step,dlco,dlco,dlco,report,report,report,report,report,report,report,report,report,report,report,report
,,,DID_cacheResolvedDIDDocs,HTTP_cacheWebResourcesResolvedFromLocalHostInstances,HTTP_cacheWebResourcesResolvedFromTheWeb,actorStep,actorTag,className,delta,end,output,report_ts,start,stepName,solution_label,phase,delta_log1p
0,0,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705393643248,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1', 'https://gddmulde.be/customvocab/'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'degree': 'Msc. Physics', 'grade': '789/1000'}}",2024-01-16 08:27:23.248,1705393643248,createDiplomaCredential,did-key,pre-evaluation,0.0
1,1,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705393678929,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1', 'https://gddmulde.be/customvocab/'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'degree': 'Msc. Physics', 'grade': '789/1000'}}",2024-01-16 08:27:58.929,1705393678929,createDiplomaCredential,did-key,pre-evaluation,0.0
2,2,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705393707982,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1', 'https://gddmulde.be/customvocab/'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'degree': 'Msc. Physics', 'grade': '789/1000'}}",2024-01-16 08:28:27.982,1705393707982,createDiplomaCredential,did-key,pre-evaluation,0.0
3,3,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705393692062,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1', 'https://gddmulde.be/customvocab/'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'degree': 'Msc. Physics', 'grade': '789/1000'}}",2024-01-16 08:28:12.062,1705393692062,createDiplomaCredential,did-key,pre-evaluation,0.0
4,4,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705393651690,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1', 'https://gddmulde.be/customvocab/'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'degree': 'Msc. Physics', 'grade': '789/1000'}}",2024-01-16 08:27:31.690,1705393651690,createDiplomaCredential,did-key,pre-evaluation,0.0
5,5,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705393763088,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1', 'https://gddmulde.be/customvocab/'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'degree': 'Msc. Physics', 'grade': '789/1000'}}",2024-01-16 08:29:23.088,1705393763088,createDiplomaCredential,did-key,pre-evaluation,0.0
6,6,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705393791473,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1', 'https://gddmulde.be/customvocab/'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'degree': 'Msc. Physics', 'grade': '789/1000'}}",2024-01-16 08:29:51.473,1705393791473,createDiplomaCredential,did-key,pre-evaluation,0.0
7,7,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705393716872,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1', 'https://gddmulde.be/customvocab/'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'degree': 'Msc. Physics', 'grade': '789/1000'}}",2024-01-16 08:28:36.872,1705393716872,createDiplomaCredential,did-key,pre-evaluation,0.0
8,8,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1705393749215,"{'@context': ['https://www.w3.org/2018/credentials/v1', 'https://w3id.org/security/bbs/v1', 'https://w3id.org/citizenship/v1', 'https://gddmulde.be/customvocab/'], 'type': ['VerifiableCredential'], 'issuer': 'http://localhost:3003/university/profile/card#me', 'credentialSubject': {'id': 'urn:test:id000', 'identifier': '123456789ab', 'degree': 'Msc. Physics', 'grade': '789/1000'}}",2024-01-16 08:29:09.215,1705393749215,createDiplomaCredential,did-key,pre-evaluation,0.0
