actor,name,mean,std,min,max,count
DidVCActor,createCredential,0.68,0.4688261722621507,0,1,100
DidVCActor,createJSONLDFrame,0.03,0.1714466079977653,0,1,100
DidVCActor,createPresentationWithDerivedVC,0.25,0.4351941398892445,0,1,100
DidVCActor,createVerifiableCredential,24.35,1.1043989178267832,23,29,100
DidVCActor,deriveCredential,1053.65,101.10214606720244,923,1482,100
DidVCActor,signPresentation,17.04,2.569911368986184,11,25,100
DidVCActor,verifyPresentation,20.15,2.1290439833005523,16,32,100
SolidVCActor,createCredential,0.19,0.4191140246479062,0,2,100
SolidVCActor,createJSONLDFrame,0.02,0.1407052941362897,0,1,100
SolidVCActor,createPresentationWithDerivedVC,0.03,0.1714466079977653,0,1,100
SolidVCActor,createVerifiableCredential,35.33,9.397028328899589,24,64,100
SolidVCActor,deriveCredential,774.35,75.12849262457222,687,1022,100
SolidVCActor,signPresentation,17.75,2.645274040146833,11,23,100
SolidVCActor,verifyPresentation,49.47,5.634409077850638,37,69,100
