,,,delta,delta,delta,delta,delta,delta,delta,delta
,,,median,mean,std,min,max,count,skew,kurt
actorTag,solution_label,stepName,,,,,,,,
alice,did-key,createPresentation01,0.0,0.18,0.3861229196653691,0,1,100,1.6913298621479576,0.8777511507494626
alice,did-key,createPresentation02,0.0,0.05,0.21904291355759034,0,1,100,4.192636648331106,15.895777735945167
alice,did-key,deriveDiplomaCredential,2156.5,2181.58,116.5678525255752,1966,2471,100,0.7165160455138717,-0.15959924469352993
alice,did-key,deriveIdentityCredential,2164.5,2187.93,122.78405573784548,2023,2760,100,1.5110120714592963,3.7354283421390764
alice,did-key,signPresentation01,136.0,141.14,23.36146356284169,117,324,100,5.068302949396752,37.66558929935872
alice,did-key,signPresentation02,138.5,144.97,28.35826176092269,118,357,100,5.014633603513977,33.48580471152234
alice,third-party,createPresentation01,0.0,0.02,0.14070529413628968,0,1,100,6.962011221737285,47.417742607247
alice,third-party,createPresentation02,0.0,0.03,0.1714466079977653,0,1,100,5.594649463592128,29.897774818291623
alice,third-party,deriveDiplomaCredential,2145.0,2202.92,164.89645848289754,2033,2999,100,2.3520743335432974,7.057029364037465
alice,third-party,deriveIdentityCredential,2165.5,2196.31,118.52559668994316,2026,2636,100,1.044763595160948,0.9451565015740422
alice,third-party,signPresentation01,141.0,144.68,22.405302402725464,126,345,100,7.36768344225405,65.58106613786926
alice,third-party,signPresentation02,141.0,144.7,22.870076607663638,117,341,100,6.49005460746075,55.374772862906276
government,did-key,createIdentityCredential,0.0,0.0,0.0,0,0,100,0.0,0.0
government,did-key,signIdentityCredential,480.0,490.8,56.982719336920944,442,809,100,3.5903168304295705,14.42981295082637
government,third-party,createIdentityCredential,0.0,0.02,0.1407052941362897,0,1,100,6.9620112217372885,47.417742607247035
government,third-party,signIdentityCredential,480.0,493.19,52.40011084111956,438,713,100,3.0666538829308476,9.20868913240948
recruiter,did-key,verifyPresentation01,896.5,884.82,150.50456417791395,640,1770,100,2.1896570068916685,11.754027244422788
recruiter,did-key,verifyPresentation02,218.5,223.73,31.432742049132028,166,395,100,1.832719664009357,7.791156549071701
recruiter,third-party,verifyPresentation01,226.5,228.89,30.71797256304262,178,408,100,2.000454008906197,10.484872664041873
recruiter,third-party,verifyPresentation02,230.5,231.22,35.221544141578626,167,441,100,2.085072477267936,11.713305704864206
university,did-key,createDiplomaCredential,0.0,0.02,0.1407052941362897,0,1,100,6.962011221737287,47.417742607247014
university,did-key,signDiplomaCredential,465.0,476.08,53.734416110603405,434,847,100,4.660881575538215,26.07232997164887
university,third-party,createDiplomaCredential,0.0,0.0,0.0,0,0,100,0.0,0.0
university,third-party,signDiplomaCredential,463.0,486.2,127.33825153122804,437,1664,100,8.296532753457274,75.72840183876167
